,Availability,Basic Info,Bezel material,Bracelet color,Bracelet length,Bracelet material,Bracelet thickness,Bracelet/strap,Brand,Buckle width,Caliber,Case,Case diameter,Case material,Clasp,Clasp material,Code,Condition,Date,Dial,Dial numerals,Expected delivery,Functions,Gender,Glass,Listing number,Location,Lug width,Model,Movement,Movement/Caliber,Number of jewels,Payment Method,Power reserve,Reference number,Scope of delivery,Thickness,Water resistance,Year,name,price,url,Base caliber,Chronograph,Others,"Chronograph, Tachymeter","Date, Tachymeter","Date, GMT",Frequency,GMT
12932902.htm,Available now,Basic Info,White gold,Steel,,Steel,,Bracelet/strap,Rolex,16 mm,Caliber,Case,41 mm,Steel,Fold clasp,Steel,86848352,Very good (Worn with little to no signs of wear),Date,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P73A6,"Germany, Koblenz",21 mm  Size guide,Datejust II,Automatic,,,Bank transfer,,116334,"Original papers, no original box",13 mm,,2013,Rolex Datejust II LC100 ,12995,https://www.chrono24.com.au/rolex/12932902.htm,,,Others,,,,,
12932637.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6VX3,"Italy, Milano",,GMT-Master II,Automatic,3185,31,Bank transfer,48 h,16710,"No original box, no original papers",,10 ATM,2001,Rolex GMT-Master II ,13982,https://www.chrono24.com.au/rolex/12932637.htm,Rolex 3185,,,,,"Date, GMT",,
12932730.htm,Available now,Basic Info,Steel,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),Date,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6YI3,"France, Strasbourg",,Sea-Dweller 4000,Automatic,3135,31,Bank transfer,48 h,16600,"Original box, original papers",,,2002,Rolex Sea-Dweller ,15298,https://www.chrono24.com.au/rolex/12932730.htm,,,,,,,,
12932737.htm,Available now,Basic Info,,,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,40.5 mm,Gold/Steel,,,,Very good (Worn with little to no signs of wear),,,,"Nov 26, 2019 - Dec 4, 2019",,Men's watch/Unisex,,7P6YP7,"Switzerland, Geneva",,GMT-Master II,Automatic,,,Bank transfer,,16713,"Original box, original papers",,,1997,Rolex GMT Master II Tiger Eye ,20384,https://www.chrono24.com.au/rolex/12932737.htm,,,,,,,,
12933042.htm,Available now,Basic Info,Ceramic,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,G756,Very good (Worn with little to no signs of wear),Date,Black,No numerals,"Nov 26, 2019 - Dec 4, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P7767,"Singapore, Singapore",,Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LN,"Original box, original papers",,30 ATM,2011,Rolex Submariner Ceramic in Stainless Steel Ref: 116610LN ,15303,https://www.chrono24.com.au/rolex/12933042.htm,cal. 3135,,,,,,,
12932728.htm,Available now,Basic Info,Yellow gold,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,,Caliber,Case,36 mm,Gold/Steel,Fold clasp,Steel,,Very good (Worn with little to no signs of wear),Date,Gold,No numerals,"Nov 16, 2019 - Nov 25, 2019",Functions,Men's watch/Unisex,Plexiglass,7P6YG6,"Malaysia, Kuala Lumpur",,Datejust,Automatic,3035,27,,42 h,16013,"No original box, no original papers",,10 ATM,Unknown,Rolex Datejust 36mm Watch Only ,5577,https://www.chrono24.com.au/rolex/12932728.htm,Cal. 3035,,,,,,,
12932988.htm,Available now,Basic Info,Ceramic,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,G640,Very good (Worn with little to no signs of wear),Date,Black,No numerals,"Nov 26, 2019 - Dec 4, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P75O2,"Singapore, Singapore",,Submariner Date,Automatic,3135,31,Bank transfer,48 h,116610LN,"Original box, original papers",,30 ATM,2011,Rolex Submariner Date ,15303,https://www.chrono24.com.au/rolex/12932988.htm,cal. 3135,,,,,,,
12932724.htm,Available now,Basic Info,Yellow gold,Gold/Steel,,Gold/Steel,,Bracelet/strap,Rolex,16 mm,Caliber,Case,40 mm,Gold/Steel,Fold clasp,Gold/Steel,87403409,Very good (Worn with little to no signs of wear),,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6YC8,"Germany, Koblenz",20 mm  Size guide,Daytona,Automatic,4130,44,Bank transfer,72 h,116523,"No original box, no original papers",12 mm,,2005 (Approximation),Rolex Daytona ,19574,https://www.chrono24.com.au/rolex/12932724.htm,cal. 4130,Chronograph,Others,,,,,
12932721.htm,Available now,Basic Info,,,,,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,,27554,Very good (Worn with little to no signs of wear),Date,,,"Nov 16, 2019 - Nov 25, 2019",Functions,Men's watch/Unisex,Sapphire Glass,7P6Y92,"Germany, München",,Sea-Dweller 4000,Automatic,3135,,Bank transfer,,16600,"Original box, original papers",,,2008,Rolex Sea Dweller Ref. 16600 ,15462,https://www.chrono24.com.au/rolex/12932721.htm,,,Others,,,,,
12933019.htm,Available now,Basic Info,Ceramic,Steel,,Steel,,Bracelet/strap,Rolex,,Caliber,Case,40 mm,Steel,Fold clasp,Steel,R-5596,Very good (Worn with little to no signs of wear),Date,Black,No numerals,"Nov 30, 2019 - Dec 12, 2019",Functions,,Sapphire Glass,7P76J2,"Germany, Köln",,Submariner Date,Automatic,,,Bank transfer,,116610LN LC100,"Original box, original papers",,,2018,Rolex Oyster Perpetual Submariner Date Ref. 116610LN LC100 ,16860,https://www.chrono24.com.au/rolex/12933019.htm,,,Others,,,,,
