,@type,availability,name,price,url,image.@type,image.contentUrl,Year,id
0,Offer,http://schema.org/InStock,Rolex Submariner ref 16800 Matte Dial Transitional Model circa 1981 ,17952.0,https://www.chrono24.com.au/rolex/submariner-ref-16800-matte-dial-transitional-model-circa-1981--id15284443.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15284443-sfhtjg9uls8rjzw4ftv9vqvx-ExtraLarge.jpg,1981,15284443.htm
1,Offer,http://schema.org/InStock,Rolex Submariner Date ,25042.0,https://www.chrono24.com.au/rolex/submariner-date--id15279007.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15279007-t5r74hghr6tj3lib4n00kpj9-ExtraLarge.jpg,1981,15279007.htm
2,Offer,http://schema.org/InStock,Rolex 5513 Submariner Maxi MK IV (Box Set) ,33498.0,https://www.chrono24.com.au/rolex/5513-submariner-maxi-mk-iv-box-set--id15245712.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15245712-xuej29dpqc7y7g6l891xyfvc-ExtraLarge.jpg,1981,15245712.htm
3,Offer,http://schema.org/InStock,Rolex Mens Submariner Stainless Steel 40mm Black Luminous Dial ,11459.0,https://www.chrono24.com.au/rolex/mens-submariner-stainless-steel-40mm-black-luminous-dial--id15243413.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/15243413-v5gdxzit3pv4vjj09jr0z8io-ExtraLarge.jpg,1981,15243413.htm
4,Offer,http://schema.org/InStock,Rolex Submariner 16800 painted indexes ,23429.0,https://www.chrono24.com.au/rolex/submariner-16800-painted-indexes--id14980144.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14980144-0nbpikbc48oa61twpqu0vr3d-ExtraLarge.jpg,1981,14980144.htm
5,Offer,http://schema.org/OutOfStock,Rolex Submariner Date Matte Dial Full Set ,24671.0,https://www.chrono24.com.au/rolex/submariner-date-matte-dial-full-set--id14848780.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14848780-yge7oclvgkhe75p0i9460tzi-ExtraLarge.jpg,1981,14848780.htm
6,Offer,http://schema.org/InStock,"Rolex Submariner 16800 ""Pallettoni"" w faded blue ghost bezel, matte dial, and applied markings ",14514.0,https://www.chrono24.com.au/rolex/submariner-16800-pallettoni-w-faded-blue-ghost-bezel-matte-dial-and-applied-markings--id14763930.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14763930-w1zuilau1o8dr3oz9whjs858-ExtraLarge.jpg,1981,14763930.htm
7,Offer,http://schema.org/InStock,Rolex 16808 Submariner nipple dial ,54779.0,https://www.chrono24.com.au/rolex/rolex-16808-submariner-nipple-dial--id14731758.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14731758-ssj9icka56kjs8c7napi00ia-ExtraLarge.jpg,1981,14731758.htm
8,Offer,http://schema.org/InStock,Rolex Submariner Date Gold Vintage 16808 Nipple Dial unpolished ,44748.0,https://www.chrono24.com.au/rolex/submariner-date-gold-vintage-16808-nipple-dial-unpolished--id14507452.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14507452-8x3zf4ouq0jurgbi1t03g7me-ExtraLarge.jpg,1981,14507452.htm
9,Offer,http://schema.org/InStock,Rolex 5513 Submariner Mk4 Maxi Dial ,26372.0,https://www.chrono24.com.au/rolex/5513-submariner-mk4-maxi-dial--id14495107.htm,ImageObject,https://cdn2.chrono24.com/images/uhren/14495107-89cyvllp6h3cyh2izup8sqxy-ExtraLarge.jpg,1981,14495107.htm
